Month,Year,Temp,Ice,Veg,Flood,Rain_mm,Province,Unnamed: 8,Unnamed: 9
3,-1.6789827428676762,0.6605044550089065,-0.35685714011733255,-1.7251560887446404,0,-0.81099526434249,Balochistan,,
4,-1.6789827428676762,1.5562470294503565,-0.4447833507862628,-1.7561366171945205,0,-0.9565940297913473,Balochistan,,
5,-1.6789827428676762,1.8687959314336202,-0.49542233428439236,-1.7825025948936466,0,-0.9255114264506441,Balochistan,,
6,-1.6789827428676762,1.6169678303170174,-0.4454563645371808,-1.835716133828567,0,-0.9657871259033058,Balochistan,,
7,-1.6789827428676762,1.4688762855435942,-0.37395390428443875,-1.7884794214690825,0,-0.6413453717682924,Balochistan,,
8,-1.6789827428676762,1.3959270778393869,-0.27900902429477503,-1.727502294525676,0,-0.8650854541687977,Balochistan,,
9,-1.6789827428676762,1.467307839232846,-0.5115801308742803,-1.6898130478739752,0,-0.9930682597706856,Balochistan,,
10,-1.6789827428676762,1.2502832749250865,-0.6437571079755131,-1.6783161781495002,0,-1.0442762897348656,Balochistan,,
11,-1.6789827428676762,0.42004740208806457,-0.7089419067353943,-1.6995295003796558,0,-1.0305611841840518,Balochistan,,
12,-1.6789827428676762,-0.0436459541899728,-0.7385220202731932,-1.6533695742033556,0,-0.8103989554054981,Balochistan,,
1,-1.5202910117596926,-0.16685989596404574,-0.8865311419865273,-1.652266257669648,0,-0.8359408548733182,Balochistan,,
2,-1.5202910117596926,0.12406208242149949,-0.5471778402913948,-1.661865630584977,0,-0.6085483802337376,Balochistan,,
3,-1.5202910117596926,0.7518381861902824,-0.613308587481078,-1.6882725573033888,0,-0.7068896624259863,Balochistan,,
4,-1.5202910117596926,1.3138534072616843,-0.6214499020685899,-1.7274278941948615,0,-0.5508057981683546,Balochistan,,
5,-1.5202910117596926,1.7394466865515885,-0.7217509131314893,-1.779249166474074,0,-0.9577121090482072,Balochistan,,
6,-1.5202910117596926,1.4981225826329023,-0.5554943879073159,-1.8479345137379182,0,-0.8331083874226066,Balochistan,,
7,-1.5202910117596926,0.966178237102027,-0.20702324473865066,-1.754016496139681,0,-0.050949831734888554,Balochistan,,
8,-1.5202910117596926,1.3153210379546418,-0.580580498094521,-1.6389163006358152,0,-0.8251824478017559,Balochistan,,
9,-1.5202910117596926,1.343636881458015,-0.7656434603691802,-1.6311953918868662,0,-0.984347241567179,Balochistan,,
10,-1.5202910117596926,1.1000648594393823,-0.8021871131684808,-1.6582713448358584,0,-1.0449968297003975,Balochistan,,
11,-1.5202910117596926,0.5065296902567924,-0.8761862453144078,-1.6931178067543426,0,-1.0426612863638458,Balochistan,,
12,-1.5202910117596926,0.07242960355972716,-0.6983039202546975,-1.6901556354437726,0,-0.8676943057681371,Balochistan,,
1,-1.361599280651709,-0.21047996810889233,-0.7816709931393839,-1.6415503030453504,0,-0.8544015857143593,Balochistan,,
2,-1.361599280651709,0.049303499516472594,-0.5309533646974373,-1.6550640561563257,0,-0.7206793065939241,Balochistan,,
3,-1.361599280651709,0.5886738933502021,-0.39277096151846447,-1.6627503601002445,0,-0.727710782809287,Balochistan,,
4,-1.361599280651709,1.206747092200207,-0.568188853806791,-1.7183585515432427,0,-0.8094796457943023,Balochistan,,
5,-1.361599280651709,1.7313229972280684,-0.7587124832768878,-1.7611231695993472,0,-0.9886456351546623,Balochistan,,
6,-1.361599280651709,1.6998551085309588,-0.7309831638636327,-1.789899948715565,0,-0.9699364422565413,Balochistan,,
7,-1.361599280651709,1.4784119067891022,-0.6326849154926902,-1.7894039465101346,0,-0.9237721920510845,Balochistan,,
8,-1.361599280651709,1.3410710246370163,-0.5498063256222994,-1.73914738816503,0,-0.8881427330658179,Balochistan,,
9,-1.361599280651709,1.2643708538831102,-0.7860021755487003,-1.6789823206463281,0,-0.9683462850912296,Balochistan,,
10,-1.361599280651709,1.109404943384351,-0.8669919829384057,-1.6944529754817512,0,-1.0371454286966708,Balochistan,,
11,-1.361599280651709,0.35792720906059666,-0.6177483188671178,-1.668024709133571,0,-0.9478233191764247,Balochistan,,
12,-1.361599280651709,-0.20007839483638695,-0.6365927493213608,-1.6904030597997373,0,-0.7647067831084933,Balochistan,,
1,-1.2029075495437254,-0.19987016032898797,-0.48728101969688037,-1.659646885835802,0,-0.638562596728997,Balochistan,,
2,-1.2029075495437254,0.010501573771876337,-0.30038548519053815,-1.6695957672819342,0,-0.48382042757959703,Balochistan,,
3,-1.2029075495437254,0.4967507902444405,-0.4138463523251478,-1.6739023352679205,0,-0.6349350506956295,Balochistan,,
4,-1.2029075495437254,1.2576820363171475,-0.6872371590064226,-1.6594807827716578,0,-0.8463265688592605,Balochistan,,
5,-1.2029075495437254,1.3647996126808837,-0.6984667512912064,-1.7390256946006744,0,-0.8866519607233383,Balochistan,,
6,-1.2029075495437254,1.5606101491760158,-0.6892562053067921,-1.7818376058903196,0,-0.9549044878032037,Balochistan,,
7,-1.2029075495437254,1.0093177401596225,-0.08233197265312121,-1.7045869926347939,1,0.4906974526994269,Balochistan,,
8,-1.2029075495437254,1.1347638554656474,-0.5227771559422392,-1.5261461620039711,0,-0.6165737046774203,Balochistan,,
9,-1.2029075495437254,1.1671166573729919,-0.7232434880614216,-1.5054634467842756,0,-0.9865088614637747,Balochistan,,
10,-1.2029075495437254,1.0663105374928652,-0.9147000935888404,-1.5336190696502048,0,-1.0434315187407937,Balochistan,,
