Month,Year,Temp,Ice,Veg,Flood,Rain_mm,Province,,
3,2000,35.44870968,-0.199580645,828.3635,0,9.458,Balochistan,,
4,2000,46.82714286,-0.217,801.5055,0,3.598,Balochistan,,
5,2000,50.7973871,-0.227032258,778.648,0,4.849,Balochistan,,
6,2000,47.59846667,-0.217133333,732.5155,0,3.228,Balochistan,,
7,2000,45.71729032,-0.202967742,773.4665,0,16.286,Balochistan,,
8,2000,44.79063158,-0.184157895,826.3295,0,7.281,Balochistan,,
9,2000,45.69736667,-0.230233333,859.0035,0,2.13,Balochistan,,
10,2000,42.94054839,-0.256419355,868.9705,0,0.069,Balochistan,,
11,2000,32.39423333,-0.269333333,850.58,0,0.621,Balochistan,,
12,2000,26.50403226,-0.275193548,890.5975,0,9.482,Balochistan,,
1,2001,24.93887097,-0.304516129,891.554,0,8.454,Balochistan,,
2,2001,28.63439286,-0.237285714,883.232,0,17.606,Balochistan,,
3,2001,36.60890323,-0.250387097,860.339,0,13.648,Balochistan,,
4,2001,43.74806667,-0.252,826.394,0,19.93,Balochistan,,
5,2001,49.15429032,-0.271870968,781.4685,0,3.553,Balochistan,,
6,2001,46.0888,-0.238933333,721.923,0,8.568,Balochistan,,
7,2001,39.33162069,-0.169896552,803.3435,0,40.048,Balochistan,,
8,2001,43.76670968,-0.243903226,903.1275,0,8.887,Balochistan,,
9,2001,44.1264,-0.280566667,909.821,0,2.481,Balochistan,,
10,2001,41.03235484,-0.287806452,886.348,0,0.04,Balochistan,,
11,2001,33.4928,-0.302466667,856.1385,0,0.134,Balochistan,,
12,2001,27.97851613,-0.267225806,858.7065,0,7.176,Balochistan,,
1,2002,24.38477419,-0.283741935,900.844,0,7.711,Balochistan,,
2,2002,27.68475,-0.234071429,889.1285,0,13.093,Balochistan,,
3,2002,34.53626087,-0.206695652,882.465,0,12.81,Balochistan,,
4,2002,42.38751724,-0.241448276,834.2565,0,9.519,Balochistan,,
5,2002,49.05109677,-0.279193548,797.1825,0,2.308,Balochistan,,
6,2002,48.65136667,-0.2737,772.235,0,3.061,Balochistan,,
7,2002,45.83841935,-0.254225806,772.665,0,4.919,Balochistan,,
8,2002,44.09380645,-0.237806452,816.234,0,6.353,Balochistan,,
9,2002,43.1195,-0.2846,868.393,0,3.125,Balochistan,,
10,2002,41.151,-0.300645161,854.981,0,0.356,Balochistan,,
11,2002,31.60513333,-0.251266667,877.8925,0,3.951,Balochistan,,
12,2002,24.51690323,-0.255,858.492,0,11.321,Balochistan,,
1,2003,24.51954839,-0.225419355,885.1555,0,16.398,Balochistan,,
2,2003,27.19185714,-0.188392857,876.5305,0,22.626,Balochistan,,
3,2003,33.36858065,-0.210870968,872.797,0,16.544,Balochistan,,
4,2003,43.03453333,-0.265033333,885.2995,0,8.036,Balochistan,,
5,2003,44.39522581,-0.267258065,816.3395,0,6.413,Balochistan,,
6,2003,46.88256667,-0.265433333,779.2245,0,3.666,Balochistan,,
7,2003,39.8796129,-0.145193548,846.1955,1,61.848,Balochistan,,
8,2003,41.47312903,-0.232451613,1000.8915,0,17.283,Balochistan,,
9,2003,41.8841,-0.272166667,1018.822,0,2.394,Balochistan,,
10,2003,40.60358065,-0.310096774,994.413,0,0.103,Balochistan,,
11,2003,30.7169,-0.284633333,958.4585,0,1.003,Balochistan,,
12,2003,24.54054167,-0.258458333,917.812,0,4.014,Balochistan,,
1,2004,23.0623871,-0.185096774,959.201,0,25.724,Balochistan,,
2,2004,28.95062069,-0.284448276,942.1265,0,8.027,Balochistan,,
3,2004,38.92535484,-0.279645161,942.009,0,8.221,Balochistan,,
4,2004,42.97253333,-0.2463,868.0125,0,5.372,Balochistan,,
5,2004,47.08251613,-0.272806452,811.9875,0,2.159,Balochistan,,
6,2004,46.2401,-0.264233333,792.899,0,3.441,Balochistan,,
